source_key,source_full_name,md_path,history_relative,event_count,subsequent_change_count,is_write_once,first_observed_at,last_observed_at,collected_at,observed_age_days,change_span_days,days_since_last_change,median_intercommit_days,first_followup_days,active_day_count,active_month_count,total_additions,total_deletions,total_churn,subsequent_additions,subsequent_deletions,subsequent_churn,frontmatter_only_changes,body_only_changes,both_changes,non_content_changes,unknown_location_changes,human_event_count,agent_event_count,unknown_actor_event_count,subsequent_human_event_count,subsequent_agent_event_count
elastic/ai-github-actions:.github/workflows/gh-aw-branch-actions-detective.md,elastic/ai-github-actions,.github/workflows/gh-aw-branch-actions-detective.md,elastic__ai-github-actions__bab0dc7eb20e/history.json,18,17,0,2026-02-22 20:07:21+00:00,2026-07-22T15:20:09+00:00,2026-08-04T11:25:51+00:00,162.63784722222223,149.80055555555555,12.837291666666667,2.4261226851851854,2.1018171296296297,16,5,194,24,218,30,24,54,13,3,1,0,0,8,10,0,8,9
elastic/ai-github-actions:.github/workflows/gh-aw-breaking-change-detect.md,elastic/ai-github-actions,.github/workflows/gh-aw-breaking-change-detect.md,elastic__ai-github-actions__a012577dee2c/history.json,13,12,0,2026-02-18 05:47:50+00:00,2026-02-21T07:31:28+00:00,2026-08-04T11:25:46+00:00,167.23467592592593,3.0719675925925927,164.16270833333334,0.1417997685185185,0.4902662037037037,4,1,116,20,136,49,18,67,10,1,0,0,1,8,3,0,7,3
elastic/ai-github-actions:.github/workflows/gh-aw-breaking-change-detector.md,elastic/ai-github-actions,.github/workflows/gh-aw-breaking-change-detector.md,elastic__ai-github-actions__4986c072448c/history.json,20,19,0,2026-02-21 07:31:28+00:00,2026-07-22T15:20:09+00:00,2026-08-04T11:25:53+00:00,164.16278935185184,151.32547453703702,12.837314814814814,1.920636574074074,0.7279745370370371,16,5,42,26,68,32,22,54,16,1,2,0,0,10,10,0,9,10
elastic/ai-github-actions:.github/workflows/gh-aw-bug-hunter.md,elastic/ai-github-actions,.github/workflows/gh-aw-bug-hunter.md,elastic__ai-github-actions__06e4bbf421a7/history.json,35,34,0,2026-02-18 05:47:50+00:00,2026-07-22T15:20:09+00:00,2026-08-04T11:25:57+00:00,167.23480324074075,154.39744212962964,12.837361111111113,0.6432060185185186,0.4902662037037037,20,5,232,62,294,116,62,178,28,5,1,0,0,18,15,0,17,15
elastic/ai-github-actions:.github/workflows/gh-aw-code-complexity-detector.md,elastic/ai-github-actions,.github/workflows/gh-aw-code-complexity-detector.md,elastic__ai-github-actions__b9e34279d352/history.json,12,11,0,2026-03-14 05:10:39+00:00,2026-07-22T15:20:09+00:00,2026-08-04T11:25:50+00:00,143.26054398148148,130.4232638888889,12.837280092592591,5.957881944444445,1.7037152777777778,11,4,249,8,257,28,8,36,11,0,0,0,0,7,5,0,6,5
elastic/ai-github-actions:.github/workflows/gh-aw-code-duplication-detector.md,elastic/ai-github-actions,.github/workflows/gh-aw-code-duplication-detector.md,elastic__ai-github-actions__34587b6f92d1/history.json,22,21,0,2026-02-21 07:31:28+00:00,2026-07-22T15:20:09+00:00,2026-08-04T11:25:55+00:00,164.1628125,151.32547453703702,12.837337962962962,1.920636574074074,0.7279745370370371,18,5,64,28,92,52,22,74,19,1,1,0,0,12,10,0,11,10
elastic/ai-github-actions:.github/workflows/gh-aw-code-quality-audit.md,elastic/ai-github-actions,.github/workflows/gh-aw-code-quality-audit.md,elastic__ai-github-actions__14c149e1df89/history.json,12,11,0,2026-03-07 23:01:41+00:00,2026-07-22T15:20:09+00:00,2026-08-04T11:25:50+00:00,149.51677083333334,136.67949074074073,12.837280092592591,6.825219907407408,0.9941898148148148,11,4,144,7,151,14,7,21,11,0,0,0,0,7,5,0,6,5
elastic/ai-github-actions:.github/workflows/gh-aw-create-comment-on-issue.md,elastic/ai-github-actions,.github/workflows/gh-aw-create-comment-on-issue.md,elastic__ai-github-actions__0fbc49249fdc/history.json,9,8,0,2026-03-18 16:15:09+00:00,2026-07-22T15:20:09+00:00,2026-08-04T11:25:53+00:00,138.79912037037036,125.96180555555556,12.837314814814814,4.887407407407407,14.06193287037037,8,4,121,6,127,10,6,16,8,0,0,0,0,5,4,0,4,4
elastic/ai-github-actions:.github/workflows/gh-aw-create-pr-from-issue.md,elastic/ai-github-actions,.github/workflows/gh-aw-create-pr-from-issue.md,elastic__ai-github-actions__43e448190375/history.json,11,10,0,2026-03-07 23:01:41+00:00,2026-07-22T15:20:09+00:00,2026-08-04T11:25:55+00:00,149.5168287037037,136.67949074074073,12.837337962962962,2.4351157407407404,0.3725694444444444,9,4,132,5,137,16,5,21,10,0,0,0,0,7,4,0,6,4
elastic/ai-github-actions:.github/workflows/gh-aw-dependency-review.md,elastic/ai-github-actions,.github/workflows/gh-aw-dependency-review.md,elastic__ai-github-actions__8860d25cbd59/history.json,19,18,0,2026-02-26 23:43:19+00:00,2026-07-22T15:20:09+00:00,2026-08-04T11:25:59+00:00,158.48796296296297,145.6505787037037,12.83738425925926,4.517552083333333,2.012395833333333,16,5,384,98,482,101,98,199,13,1,4,0,0,7,12,0,7,11
elastic/ai-github-actions:.github/workflows/gh-aw-docs-drift.md,elastic/ai-github-actions,.github/workflows/gh-aw-docs-drift.md,elastic__ai-github-actions__11e3e277cedd/history.json,16,15,0,2026-02-18 05:47:50+00:00,2026-02-21T07:31:28+00:00,2026-08-04T11:25:56+00:00,167.23479166666667,3.0719675925925927,164.16282407407408,0.1020949074074074,0.4902662037037037,4,1,129,30,159,63,29,92,10,3,1,0,1,8,6,0,7,6
elastic/ai-github-actions:.github/workflows/gh-aw-docs-patrol.md,elastic/ai-github-actions,.github/workflows/gh-aw-docs-patrol.md,elastic__ai-github-actions__7c981ce40277/history.json,18,17,0,2026-02-21 07:31:28+00:00,2026-07-22T15:20:09+00:00,2026-08-04T11:26:01+00:00,164.16288194444445,151.32547453703702,12.837407407407408,2.0917476851851853,0.7279745370370371,16,5,42,24,66,30,18,48,16,0,1,0,0,8,10,0,7,10
elastic/ai-github-actions:.github/workflows/gh-aw-duplicate-issue-detector.md,elastic/ai-github-actions,.github/workflows/gh-aw-duplicate-issue-detector.md,elastic__ai-github-actions__8c86ff618c2d/history.json,25,24,0,2026-02-20 04:03:33+00:00,2026-07-22T15:20:09+00:00,2026-08-04T11:26:04+00:00,165.30730324074074,152.4698611111111,12.837442129629627,1.045457175925926,0.8013310185185185,16,5,325,92,417,212,92,304,17,4,3,0,0,9,16,0,9,15
